5000
caraway_seed_bread,salal
alembic,systema_skeletale
darning_needle,partitionist
enragement,eastern_lowland_gorilla
clapper,bowtie_pasta
Taxus_baccata,Imogene_Coca
passenger_car,Six_Nations
Lopholatilus_chamaeleonticeps,trade_secret
Malacostraca,epidural_anesthesia
parlour_car,actiniarian
storm_lamp,Arctocephalus
wrester,water_milfoil
Tepic,ethmoidal_artery
slew,afibrinogenemia
backfire,Cavendish
American_language,hood_latch
wild_emmer,Verbesina
myrrh_tree,scythe
fire-bellied_toad,biometric_authentication
Alfred_Kroeber,spotted_cranesbill
drug_peddler,hogshead
Wednesday,NATO
prurience,temp
twaddle,Tesla_coil
electronic_scanner,Primus_stove
culpability,bench_lathe
Eastern_Roman_Empire,gun_carriage
corroding,broadcasting
Scarabaeus_sacer,articulator
housing_commissioner,tragopan
leaf_mustard,big_businessman
Myotis,box_girder
etiquette,gas_maser
genus_Dasyurus,sheepskin
jewel_casket,order_Ebenales
sharpie,procrustean_standard
shell_parakeet,phi_correlation
decimal_system,Almaty
panther_cat,public_treasury
Edna_Millay,artist's_model
Muscat_and_Oman,Upupa_epops
compliance,Hydnocarpus_laurifolia
maiden_blue-eyed_Mary,roast
genus_Monilia,transmission_line
quantifier,hitter
Agapanthus_africanus,Erwin_Rommel
newspaper_advertisement,western_yew
gar,hair_curler
Ageratum_houstonianum,Virginian_sumac
king_penguin,Shanghai
sea_green,ravel
savings_bank,periscope
purple_passage,formidability
Isoptin,University_of_North_Carolina
Hilo,conjuncture
inferior_colliculus,Calostoma_lutescens
Lolita,agrimony
pale_yellow,MBD
spotted_coral_root,Chaucer
lymphoblast,shoot-down
workstation,pillage
livingstone_daisy,Dame_Agatha_Mary_Clarissa_Christie
DC,Muridae
genus_Cyanocitta,Oder_River
Giovanni_Angelo_Braschi,genus_Amanita
symphilid,roomy
Sonny_Liston,tetrafluoroethylene
cronyism,bathing_machine
Shavous,library_catalogue
animal_skin,Isle_Royal_National_Park
malcontent,anaphase
capital_of_Lithuania,blue_pike
midterm_examination,fan_fern
Cyclopes,dope
pabulum,Sitka_spruce
general_anesthesia,bulldozer
Pushan,pleomorphic_rhabdosarcoma
family_Spalacidae,Mujahidin-e_Khalq_Organization
suborder_Megaloptera,potassium_permanganate
margaric_acid,incompetent_cervix
diarrhea,zit
genus_Colchicum,Guinea_worm_disease
ski_pole,milk_powder
sparkplug_wrench,Reticulitermes_flanipes
resid,chandelle
Fall,Saccharum
oceanology,vehicle
Neandertal_man,lumbar_artery
earwax,anchylosis
behaviouristic_psychology,Hillary
Percy_Grainger,increment
orthodonture,Levitra
colossus,Nitrospan
hyperbaton,great_blue_shark
mammee_apple,attainability
Schizophyceae,common_wormwood
water_vole,lisle_thread
input_data,Makaira_mitsukurii
Stradivari,John_Marshall
sensor,subduction
Cracticidae,sanicle
hammock,Chaldaea
family_Leguminosae,Lathyrus_japonicus
intercept,knock-on_effect
rough-and-tumble,foresight
ataraxis,scarlet_bush
CAD,genus_Dichondra
etamin,scenarist
Bathyergus,Gerald_R._Ford
estate_for_life,marginal_placentation
subkingdom_Metazoa,equine_distemper
estradiol_patch,foetoscope
Scribe,jitteriness
Harlan_Stone,Corse
supination,Verbascum
coltan,Frank_Stockton
red-bellied_turtle,commandership
Central_American_country,genus_Tetrapturus
Bizet,myriagram
radio-opacity,Erythronium_dens-canis
feverishness,vertebral_vein
pargeting,Diospyros_kaki
temptation,agamogenesis
yellow_spot_fungus,cashier's_check
genus_Lentinus,pleasance
sloop,Liriope
dichotomisation,postal_card
quirk,federal_government
hagbut,family_Cicadidae
vulgarization,Alstonia_scholaris
Clark_Gable,genus_Hovea
