5000
order_Apterygiformes,flacourtia_family
block_vote,Arundinaria
genus_Limax,beguiler
stead,scratch_line
Centaur,foodstuff
spider_flower,foreign_legion
airspace,bookkeeper
dead_end,ammonium_carbonate
Leclanche_cell,pirate_ship
piolet,Oven_Stuffer_Roaster
toy_soldier,taper_file
thrash,4to
euphuism,paramilitary_organization
xerophytic_plant,letter
criminal_contempt,folie
entranceway,microchip
family_Macruridae,Republic_of_Chile
stemmatology,homogenate
thermal_equilibrium,tailor's_chalk
Mary_Baker_Eddy,baby_bed
basidiospore,confines
kauri_copal,Antidorcas
supernatural_virtue,Herbert_Hoover
santims,respiration
Deltasone,Tokio
chit_chat,strenuousness
Sceloglaux_albifacies,Pithecanthropus_erectus
Hero_of_Alexandria,European_pasqueflower
Maclura,fishing_boat
differential_gear,cruiser
gustation,Scleroderma_aurantium
combatant,bedsit
Christian_Bible,datum
caricaturist,battle_of_Spotsylvania_Courthouse
crucible_steel,sapraemia
bookmark,Romanal
meadow_grass,fornicator
sandbag,slyboots
Virginian,symbolization
slang,centreboard
strip_mall,Grey
schtickl,genus_Pithecia
subclass_Zoomastigina,Phoenicia
overactivity,fifth_cranial_nerve
Carphophis_amoenus,quadriceps_femoris
wild_chervil,burgrass
California_coffee,Fraxinus_ornus
celebrator,genus_Haemanthus
Narthecium_americanum,alpine_clubmoss
Stenocarpus_sinuatus,councilman
motion-picture_show,haymaker
atomic_number_38,trade_acceptance
solar_furnace,Francis_Turner_Palgrave
hotplate,bombazine
bimbo,home_game
radiculitis,Rudolf_Serkin
Hemerocallis_lilio-asphodelus,Meister_Eckhart
fiat,train_ticket
black_birch,Arthur_Meier_Schlesinger_Jr.
Captain_James_Cook,relational_database_management_system
musical_box,conodont
amboina_pine,kauri_gum
furniture_maker,whitehead
politico,Cathari
solicitation,nuclear_reactor
Crotalus_adamanteus,venous_pressure
tibialis_anticus,chronic_kidney_failure
magnetic_declination,almond_crescent
Parsi,tanglebush
vena_appendicularis,Espagnole
ginseng,Bufferin
street_theater,zeal
yellowness,Russian_bank
belle_de_nuit,belted_ammunition
Protestant_denomination,primary_school
ostensive_definition,Cantharellus_clavatus
Slovakia,Baron_Lloyd_Webber_of_Sydmonton
nitrogen_oxide,Vinson
inflatable_cushion,genus_Thermobia
intellectual_nourishment,star_tulip
cavum,hired_man
deformity,hoary_puccoon
Iranian_monetary_unit,sampling_station
fondness,family_Strelitziaceae
cancellation,John_Muir
horseback_rider,cog_railway
infant_death,war_advocacy
Black_Africa,balusters
sash_window,white_horse
kit_bag,Giuseppe_Mazzini
subfamily_Uvulariaceae,commercial_instrument
Mary_Jane,airliner
wild_oat,minimum_wage
Marsilea_drummondii,Prumnopitys_andina
lysis,Prunus_caroliniana
Agalinis,time_scale
bog_rose,Prunus_cerasifera
