500
lipoid,wool_fat
semilunar_valve,lemniscus
NAD,trochlear_nerve
trypsinogen,fibrous_tissue
fornix,benzoyl_group
cerumen,tendon_of_Achilles
fibula,endosteum
immune_system,bone_oil
monoclonal,parasympathetic
blood_sugar,milk_tooth
body,cartilage_bone
RES,Hb
auditory_system,variable
conjunctival_layer_of_eyelids,carbohydrate
scapula,flesh
efferent,compound_protein
geode,cannon_bone
cranial_nerve,saphenous_vein
Adam's_apple,inferior_ophthalmic_vein
costus_oil,exoderm
perforated_eardrum,tonsilla
aponeurosis,decarboxylase
nugget,sigmoid_vein
iodoprotein,lymph_node
fibrinogen,alkyl_radical
lard_oil,testicular_vein
sacrum,dandruff
microglia,foryml
reservoir,spreading_factor
hemoglobin,parietal_pleura
female_reproductive_system,segment
nerve_tissue,Achilles_tendon
vena_obliqua_atrii_sinistri,vena_profunda_penis
vena_poplitea,cardiovascular_system
animal_fat,urokinase
dipole,benzyl_radical
Hyazyme,testicular_vein
amyl,Bowman's_capsule
bundle_of_His,marrowbone
splanchnic_nerve,fetal_membrane
methylene_radical,butterfat
depicted_object,vena_radialis
chest,milk_tooth
lemon_grass,bit
piece,triglyceride
acetyl_group,beta-lipoprotein
allyl,palm_oil
venae_renis,thoracoepigastric_vein
freshener,aortic_valve
plastron,sliver
brickbat,dubbin
internode,phosphatase
sphenoid,glycoprotein
lectin,right_atrioventricular_valve
cinder,methylene_group
shaft,cyclooxygenase
radiatio_optica,arachnoid
bagasse,cinder
uterine_vein,tall_oil
carbonyl_group,os_trapezoideum
manubrium,NADP
nodule,cervical_vertebra
peroneal_vein,serum_albumin
astragal,soybean_oil
trigeminal,coccygeal_vertebra
baby_tooth,Peyer's_patch
superior_vena_cava,coccyx
cocarboxylase,coal
protein,cardiovascular_system
tunica_albuginea_testes,metatarsal
cyanide_group,vena_obliqua_atrii_sinistri
unit,beet_sugar
pia_mater,os_sphenoidale
beta_globulin,vorticose_vein
semilunar_cartilage,vena_sigmoideus
cubital_nerve,submaxilla
unit_cell,serosa
bucktooth,nerve_tissue
propyl_radical,endocrine_system
Japan_tallow,acoustic_nerve
facial,polyose
arcus_zygomaticus,wisdom_tooth
